DTrace trace log for server: DiscServer.EX13Domain.com
[Opened: 2017/11/23 16:54:32]

Windows version: 6.3.9600 (Windows Server 2012 R2)
Time zone: India Standard Time
Time difference to UTC: +5:30

-----

Enabled Trace options

Id    Name                                         Detail     Include Events
99  - runner                                       Verbose    Yes         

-----


Display Filter:
  Include strings:
    EV-
    EV:
    EV~

  No Exclude Strings
-----

Current File Rollover Settings: 100Mb

-----

1	16:55:59.646	 [4200]	(Runner)	<4800>	EV-H	{RuntimeMethodHandle.InvokeMethod} Executing command : elevate msiexec /i "C:\DAServer\Veritas Enterprise Vault Discovery Accelerator Server.msi" /passive SERVICE_DMN="EX13DOMAIN" SERVICE_USR="evsvc" SERVICE_PW="p@ssw0rD" ADDLOCAL="Service,DiscoveryAcceleratorRoot,AdminWeb,Websites,DiscoveryAPI,CustodianManagerWeb,ReportingWebService" DISCOVERY_REPORTING="C:\Program Files (x86)\Enterprise Vault Business Accelerator\DAReporting" INSTALLDIR="C:\Program Files (x86)\Enterprise Vault Business Accelerator" /passive /l*v "C:\DAinstall.log"
5	17:12:32.305	 [1748]	(Runner)	<2740>	EV-L	{Logger.WriteLine} Parameters passed [0]: C:\FitNesse\Fixtures\Data\EnhancedReporting\PSScripts\ChangeAuthenticationForApplication.ps1 |[1] : True |[2]:C:\FitNesse\Fixtures\Data\EnhancedReporting\PSScripts\ChangeWebSiteAuthenticationSetting.ps1, DAReporting, basicAuthentication, 1
6	17:12:32.320	 [1748]	(Runner)	<2740>	EV-L	{Logger.WriteLine} Executing script:|####START####|#|# (c) 2016 Veritas Technologies Corporation. All rights reserved.|# |# THIS SOFTWARE CONTAINS CONFIDENTIAL INFORMATION AND TRADE SECRETS OF VERITAS |# TECHNOLOGIES CORPORATION.  USE, DISCLOSURE OR REPRODUCTION IS PROHIBITED |# WITHOUT THE PRIOR EXPRESS WRITTEN PERMISSION OF VERITAS TECHNOLOGIES |# CORPORATION.|# |# The Licensed Software and Documentation are deemed to be commercial computer |# software as defined in FAR 12.212 and subject to restricted rights as defined |# in FAR Section 52.227-19 "Commercial Computer Software - Restricted Rights" |# and DFARS 227.7202, Rights in "Commercial Computer Software or Commercial |# Computer Software Documentation," as applicable, and any successor regulations, |# whether delivered by Veritas Technologies Corporation as on premises or hosted |# services.  Any use, modification, reproduction release, performance, display or |# disclosure of the Licensed Software and Documentation by the U.S. Government |# shall be solely in accordance with the terms of this Agreement.|#|#$moduePath : Full path of the script ChangeWebSiteAuthenticationSetting.ps1|#$applicationName: Name of the application (e.g. CAReporting for CA reporing application|#$authenticationType: Name of the authentication type (e.g. basicAuthentication for basic and windowsAuthentication for windows)|#$value: 1: to enable 0: to disable|#$websiteName: Name of the website e.g. "Default Web Site", if not passed it assumes "Default Web Site"|param([string]$moduePath, [string]$applicationName, [string]$authenticationType, [string] $value, [string]$websiteName)|Import-Module $moduePath|#convert string to bool|$booleanValue = $value -eq 1|if ([string]::IsNullOrWhiteSpace( $websiteName))|{|$websiteName = "Default Web Site"|}|ChangeWebSiteAuthenticationSetting $booleanValue $websiteName  $applicationName $authenticationType |Remove-Module ChangeWebSiteAuthenticationSetting|####END####
7	17:12:55.602	 [1748]	(Runner)	<2740>	EV-L	{Logger.WriteLine} Updated PowerShell execution policy to RemoteSigned
8	17:13:16.898	 [1748]	(Runner)	<2740>	EV-L	{Logger.WriteLine} Adding parameter: C:\FitNesse\Fixtures\Data\EnhancedReporting\PSScripts\ChangeWebSiteAuthenticationSetting.ps1
9	17:13:16.898	 [1748]	(Runner)	<2740>	EV-L	{Logger.WriteLine} Adding parameter: DAReporting
10	17:13:16.898	 [1748]	(Runner)	<2740>	EV-L	{Logger.WriteLine} Adding parameter: basicAuthentication
11	17:13:16.898	 [1748]	(Runner)	<2740>	EV-L	{Logger.WriteLine} Adding parameter: 1
12	17:13:21.227	 [1748]	(Runner)	<2740>	EV-L	{Logger.WriteLine} script:[C:\FitNesse\Fixtures\Data\EnhancedReporting\PSScripts\ChangeAuthenticationForApplication.ps1] executed with 0 Errors and 0 Warnings.
13	17:13:21.461	 [1748]	(Runner)	<2740>	EV-L	{Logger.WriteLine} Parameters passed [0]: C:\FitNesse\Fixtures\Data\EnhancedReporting\PSScripts\ChangeAuthenticationForApplication.ps1 |[1] : True |[2]:C:\FitNesse\Fixtures\Data\EnhancedReporting\PSScripts\ChangeWebSiteAuthenticationSetting.ps1, DAReporting, windowsAuthentication, 0
14	17:13:21.461	 [1748]	(Runner)	<2740>	EV-L	{Logger.WriteLine} Executing script:|####START####|#|# (c) 2016 Veritas Technologies Corporation. All rights reserved.|# |# THIS SOFTWARE CONTAINS CONFIDENTIAL INFORMATION AND TRADE SECRETS OF VERITAS |# TECHNOLOGIES CORPORATION.  USE, DISCLOSURE OR REPRODUCTION IS PROHIBITED |# WITHOUT THE PRIOR EXPRESS WRITTEN PERMISSION OF VERITAS TECHNOLOGIES |# CORPORATION.|# |# The Licensed Software and Documentation are deemed to be commercial computer |# software as defined in FAR 12.212 and subject to restricted rights as defined |# in FAR Section 52.227-19 "Commercial Computer Software - Restricted Rights" |# and DFARS 227.7202, Rights in "Commercial Computer Software or Commercial |# Computer Software Documentation," as applicable, and any successor regulations, |# whether delivered by Veritas Technologies Corporation as on premises or hosted |# services.  Any use, modification, reproduction release, performance, display or |# disclosure of the Licensed Software and Documentation by the U.S. Government |# shall be solely in accordance with the terms of this Agreement.|#|#$moduePath : Full path of the script ChangeWebSiteAuthenticationSetting.ps1|#$applicationName: Name of the application (e.g. CAReporting for CA reporing application|#$authenticationType: Name of the authentication type (e.g. basicAuthentication for basic and windowsAuthentication for windows)|#$value: 1: to enable 0: to disable|#$websiteName: Name of the website e.g. "Default Web Site", if not passed it assumes "Default Web Site"|param([string]$moduePath, [string]$applicationName, [string]$authenticationType, [string] $value, [string]$websiteName)|Import-Module $moduePath|#convert string to bool|$booleanValue = $value -eq 1|if ([string]::IsNullOrWhiteSpace( $websiteName))|{|$websiteName = "Default Web Site"|}|ChangeWebSiteAuthenticationSetting $booleanValue $websiteName  $applicationName $authenticationType |Remove-Module ChangeWebSiteAuthenticationSetting|####END####
